date_time,storage,inflow,withdr,outflow,withdr_req,rel_req,available
2019-01-01,7470,194.9,70,115.9,70,0,7594.9
2019-01-02,7479,174.3,80.29175,94.00825,80.29175,0,7573.00825
2019-01-03,7479,162,79.55,82.45,79.55,0,7561.45
2019-01-04,7479,155.5,78.475,77.025,78.475,0,7556.025
2019-01-05,7479,142,78.475,63.525,78.475,0,7542.525
2019-01-06,7479,130.1,75.25,54.85,75.25,0,7533.85
2019-01-07,7479,123.3,76.325,46.975,76.325,0,7525.975
2019-01-08,7479,8797,78.475,8718.525,78.475,0,16197.525
2019-01-09,7479,2388.5,74.175,2314.325,74.175,0,9793.325
2019-01-10,7479,1276.3,75.25,1201.05,75.25,0,8680.05
2019-01-11,7479,530.8,74.175,456.625,74.175,0,7935.625
2019-01-12,7479,336.3,74.175,262.125,74.175,0,7741.125
2019-01-13,7479,258.8,73.1,185.7,73.1,0,7664.7
2019-01-14,7479,234.9,75.25,159.65,75.25,0,7638.65
2019-01-15,7479,235.3,77.4,157.9,77.4,0,7636.9
2019-01-16,7479,8797.6,76.325,8721.275,76.325,0,16200.275
2019-01-17,7479,964.9,80.625,884.275,80.625,0,8363.275
2019-01-18,7479,565.8,80.625,485.175,80.625,0,7964.175
2019-01-19,7479,401.7,79.55,322.15,79.55,0,7801.15
2019-01-20,7479,317.7,79.55,238.15,79.55,0,7717.15
2019-01-21,7479,284.3,80.625,203.675,80.625,0,7682.675
2019-01-22,7479,252.8,82.775,170.025,82.775,0,7649.025
2019-01-23,7479,956.9,78.475,878.425,78.475,0,8357.425
2019-01-24,7479,2973.7,80.625,2893.075,80.625,0,10372.075
2019-01-25,7479,3233.7,80.625,3153.075,80.625,0,10632.075
2019-01-26,7479,1542.3,80.625,1461.675,80.625,0,8940.675
2019-01-27,7479,911.3,79.55,831.75,79.55,0,8310.75
2019-01-28,7479,7909.8,79.55,7830.25,79.55,0,15309.25
2019-01-29,7479,14608.7,80.625,14528.075,80.625,0,22007.075
2019-01-30,7479,4023.2,79.55,3943.65,79.55,0,11422.65
2019-01-31,7479,1448.1,77.4,1370.7,77.4,0,8849.7
2019-02-01,7479,1012.2,76.325,935.875,76.325,0,8414.875
2019-02-02,7479,688.4,75.25,613.15,75.25,0,8092.15
2019-02-03,7479,644.1,72.025,572.075,72.025,0,8051.075
2019-02-04,7479,1265.3,75.25,1190.05,75.25,0,8669.05
2019-02-05,7479,21146.4,75.25,21071.15,75.25,0,28550.15
2019-02-06,7479,4039.1,76.325,3962.775,76.325,0,11441.775
2019-02-07,7479,1423,75.25,1347.75,75.25,0,8826.75
2019-02-08,7479,967,74.175,892.825,74.175,0,8371.825
2019-02-09,7479,647,75.25,571.75,75.25,0,8050.75
2019-02-10,7479,590.2,75.25,514.95,75.25,0,7993.95
2019-02-11,7479,528.8,75.25,453.55,75.25,0,7932.55
2019-02-12,7479,1032.1,73.1,959,73.1,0,8438
2019-02-13,7479,772,74.175,697.825,74.175,0,8176.825
2019-02-14,7479,591.5,73.1,518.4,73.1,0,7997.4
2019-02-15,7479,503.9,73.1,430.8,73.1,0,7909.8
2019-02-16,7479,478.6,70.95,407.65,70.95,0,7886.65
2019-02-17,7479,538.5,75.25,463.25,75.25,0,7942.25
2019-02-18,7479,1760.5,74.175,1686.325,74.175,0,9165.325
2019-02-19,7479,4049.6,73.1,3976.5,73.1,0,11455.5
2019-02-20,7479,1776.5,72.025,1704.475,72.025,0,9183.475
2019-02-21,7479,989.9,72.025,917.875,72.025,0,8396.875
2019-02-22,7479,704.1,74.175,629.925,74.175,0,8108.925
2019-02-23,7479,621.2,75.25,545.95,75.25,0,8024.95
2019-02-24,7479,2611.9,74.175,2537.725,74.175,0,10016.725
2019-02-25,7479,2807.9,75.25,2732.65,75.25,0,10211.65
2019-02-26,7479,1662.2,79.55,1582.65,79.55,0,9061.65
2019-02-27,7479,878.2,80.625,797.575,80.625,0,8276.575
2019-02-28,7479,667.5,77.4,590.1,77.4,0,8069.1
2019-03-01,7479,584.1,75.25,508.85,75.25,0,7987.85
2019-03-02,7479,518.2,73.1,445.1,73.1,0,7924.1
2019-03-03,7479,507.9,70.95,436.95,70.95,0,7915.95
2019-03-04,7479,496.6,70.95,425.65,70.95,0,7904.65
2019-03-05,7479,439.7,72.025,367.675,72.025,0,7846.675
2019-03-06,7479,410.4,72.025,338.375,72.025,0,7817.375
2019-03-07,7479,374.4,77.4,297,77.4,0,7776
2019-03-08,7479,411.9,75.25,336.65,75.25,0,7815.65
2019-03-09,7479,2815.4,69.875,2745.525,69.875,0,10224.525
2019-03-10,7479,2029,69.875,1959.125,69.875,0,9438.125
2019-03-11,7479,886,70.95,815.05,70.95,0,8294.05
2019-03-12,7479,589.8,75.25,514.55,75.25,0,7993.55
2019-03-13,7479,477.9,74.175,403.725,74.175,0,7882.725
2019-03-14,7479,414.9,74.175,340.725,74.175,0,7819.725
2019-03-15,7479,384.5,72.025,312.475,72.025,0,7791.475
2019-03-16,7479,338.1,72.025,266.075,72.025,0,7745.075
2019-03-17,7479,325.1,79.55,245.55,79.55,0,7724.55
2019-03-18,7479,476.4,80.625,395.775,80.625,0,7874.775
2019-03-19,7479,6254.1,81.7,6172.4,81.7,0,13651.4
2019-03-20,7479,2929.2,78.475,2850.725,78.475,0,10329.725
2019-03-21,7479,17677.7,75.25,17602.45,75.25,0,25081.45
2019-03-22,7479,5000.7,76.325,4924.375,76.325,0,12403.375
2019-03-23,7479,1931.3,76.325,1854.975,76.325,0,9333.975
2019-03-24,7479,975.3,79.55,895.75,79.55,0,8374.75
2019-03-25,7479,674.6,77.4,597.2,77.4,0,8076.2
2019-03-26,7479,580.5,78.475,502.025,78.475,0,7981.025
2019-03-27,7479,526,79.55,446.45,79.55,0,7925.45
2019-03-28,7479,486.3,83.85,402.45,83.85,0,7881.45
2019-03-29,7479,453.5,81.7,371.8,81.7,0,7850.8
2019-03-30,7479,415,78.475,336.525,78.475,0,7815.525
2019-03-31,7479,384.5,80.625,303.875,80.625,0,7782.875
2019-04-01,7479,337,86,251,86,0,7730
2019-04-02,7479,407,90.3,316.7,90.3,0,7795.7
2019-04-03,7479,404.4,92.45,311.95,92.45,0,7790.95
2019-04-04,7479,367,93.525,273.475,93.525,0,7752.475
2019-04-05,7479,416.4,89.225,327.175,89.225,0,7806.175
2019-04-06,7479,358,82.775,275.225,82.775,0,7754.225
2019-04-07,7479,316,86,230,86,0,7709
2019-04-08,7479,288,90.3,197.7,90.3,0,7676.7
2019-04-09,7479,335,89.225,245.775,89.225,0,7724.775
2019-04-10,7479,816,82.775,733.225,82.775,0,8212.225
2019-04-11,7479,641,83.85,557.15,83.85,0,8036.15
2019-04-12,7479,479.3,83.85,395.45,83.85,0,7874.45
2019-04-13,7479,406.8,84.925,321.875,84.925,0,7800.875
2019-04-14,7479,355.4,86,269.4,86,0,7748.4
2019-04-15,7479,324.9,82.775,242.125,82.775,0,7721.125
2019-04-16,7479,428,82.775,345.225,82.775,0,7824.225
2019-04-17,7479,378,83.85,294.15,83.85,0,7773.15
2019-04-18,7479,312.9,86,226.9,86,0,7705.9
2019-04-19,7479,280,84.925,195.075,84.925,0,7674.075
2019-04-20,7479,850.7,86,764.7,86,0,8243.7
2019-04-21,7479,734.9,82.775,652.125,82.775,0,8131.125
2019-04-22,7479,507.3,83.85,423.45,83.85,0,7902.45
2019-04-23,7479,363,82.775,280.225,82.775,0,7759.225
2019-04-24,7479,314.4,80.625,233.775,80.625,0,7712.775
2019-04-25,7479,292.2,83.85,208.35,83.85,0,7687.35
2019-04-26,7479,268.8,87.075,181.725,87.075,0,7660.725
2019-04-27,7479,257,81.7,175.3,81.7,0,7654.3
2019-04-28,7479,243.5,82.775,160.725,82.775,0,7639.725
2019-04-29,7479,227,82.775,144.225,82.775,0,7623.225
2019-04-30,7479,207.5,86,121.5,86,0,7600.5
2019-05-01,7479,195.5,96.75,98.75,96.75,0,7577.75
2019-05-02,7479,190.5,96.75,93.75,96.75,0,7572.75
2019-05-03,7479,572.4,96.75,475.65,96.75,0,7954.65
2019-05-04,7479,1171.3,96.75,1074.55,96.75,0,8553.55
2019-05-05,7479,651.1,96.75,554.35,96.75,0,8033.35
2019-05-06,7479,462.5,96.75,365.75,96.75,0,7844.75
2019-05-07,7479,297.7,93.525,204.175,93.525,0,7683.175
2019-05-08,7479,2118.5,94.6,2023.9,94.6,0,9502.9
2019-05-09,7479,2563.6,95.675,2467.925,95.675,0,9946.925
2019-05-10,7479,1524.6,99.975,1424.625,99.975,0,8903.625
2019-05-11,7479,803.8,95.675,708.125,95.675,0,8187.125
2019-05-12,7479,550.8,97.825,452.975,97.825,0,7931.975
2019-05-13,7479,575.4,95.675,479.725,95.675,0,7958.725
2019-05-14,7479,647.1,97.825,549.275,97.825,0,8028.275
2019-05-15,7479,463.8,97.825,365.975,97.825,0,7844.975
2019-05-16,7479,368.7,99.975,268.725,99.975,0,7747.725
2019-05-17,7479,321.5,99.975,221.525,99.975,0,7700.525
2019-05-18,7479,278.9,97.825,181.075,97.825,0,7660.075
2019-05-19,7479,238.5,101.05,137.45,101.05,0,7616.45
2019-05-20,7479,210.8,99.975,110.825,99.975,0,7589.825
2019-05-21,7479,190.9,99.975,90.925,99.975,0,7569.925
2019-05-22,7479,159,97.825,61.175,97.825,0,7540.175
2019-05-23,7479,146.1,93.525,52.575,93.525,0,7531.575
2019-05-24,7479,132.1,89.225,42.875,89.225,0,7521.875
2019-05-25,7479,122.5,89.225,33.275,89.225,0,7512.275
2019-05-26,7479,132.1,92.45,39.65,92.45,0,7518.65
2019-05-27,7479,115.5,92.45,23.05,92.45,0,7502.05
2019-05-28,7479,104.5,92.45,12.05,92.45,0,7491.05
2019-05-29,7479,93.3,97.825,0,97.825,0,7474.475
2019-05-30,7474.475,83.5,99.975,0,99.975,0,7458
2019-05-31,7458,78.5,99.975,0,99.975,0,7436.525
2019-06-01,7436.525,82.6,85,0,85,0,7434.125
2019-06-02,7434.125,78.6,85,0,85,0,7427.725
2019-06-03,7427.725,71.8,85,0,85,0,7414.525
2019-06-04,7414.525,66.8,85,0,85,0,7396.325
2019-06-05,7396.325,64.6,85,0,85,0,7375.925
2019-06-06,7375.925,60.8,85,0,85,0,7351.725
2019-06-07,7351.725,58.7,85,0,85,0,7325.425
2019-06-08,7325.425,57.8,85,0,85,0,7298.225
2019-06-09,7298.225,56.8,85,0,85,0,7270.025
2019-06-10,7270.025,178.8,85,0,85,0,7363.825
2019-06-11,7363.825,351.5,85,151.325,85,0,7630.325
2019-06-12,7479,267,85,182,85,0,7661
2019-06-13,7479,333.1,85,248.1,85,0,7727.1
2019-06-14,7479,1204.3,85,1119.3,85,0,8598.3
2019-06-15,7479,1099.7,85,1014.7,85,0,8493.7
2019-06-16,7479,930.3,85,845.3,85,0,8324.3
2019-06-17,7479,1821.4,85,1736.4,85,0,9215.4
2019-06-18,7479,1615.7,85,1530.7,85,0,9009.7
2019-06-19,7479,875.3,85,790.3,85,0,8269.3
2019-06-20,7479,549.2,85,464.2,85,0,7943.2
2019-06-21,7479,384.4,85,299.4,85,0,7778.4
2019-06-22,7479,312.2,85,227.2,85,0,7706.2
2019-06-23,7479,280.8,85,195.8,85,0,7674.8
2019-06-24,7479,795.9,85,710.9,85,0,8189.9
2019-06-25,7479,664.2,85,579.2,85,0,8058.2
2019-06-26,7479,401,85,316,85,0,7795
2019-06-27,7479,291,85,206,85,0,7685
2019-06-28,7479,321.6,85,236.6,85,0,7715.6
2019-06-29,7479,385.3,85,300.3,85,0,7779.3
2019-06-30,7479,281.6,85,196.6,85,0,7675.6
2019-07-01,7479,222.3,104.275,118.025,104.275,0,7597.025
2019-07-02,7479,195.4,107.5,87.9,107.5,0,7566.9
2019-07-03,7479,175.9,119.325,56.575,119.325,0,7535.575
2019-07-04,7479,167.7,120,47.7,120,0,7526.7
2019-07-05,7479,142.2,120,22.2,120,0,7501.2
2019-07-06,7479,124.2,120,4.2,120,0,7483.2
2019-07-07,7479,102.2,120,0,120,0,7461.2
